Memory MB raspberrypi,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
2024-04-02 15:11:34,4045.2,-0.0,-0.0,100.0,266.7,-0.0,-0.0,0.5,55.7,3428.5,1861.0,-1.0,11.0,3.5,1731.3
2024-04-02 15:11:35,4045.2,-0.0,-0.0,100.0,45.2,-0.0,-0.0,0.5,55.7,3428.5,2082.4,-1.0,11.0,3.5,1731.2
2024-04-02 15:11:36,4045.2,-0.0,-0.0,100.0,44.2,-0.0,-0.0,0.5,55.7,3428.5,2084.0,-1.0,11.0,3.5,1731.2
2024-04-02 15:11:37,4045.2,-0.0,-0.0,100.0,44.0,-0.0,-0.0,0.5,55.7,3428.5,2084.7,-1.0,11.0,3.5,1731.2
2024-04-02 15:11:38,4045.2,-0.0,-0.0,100.0,44.0,-0.0,-0.0,0.5,55.2,3428.0,2084.7,-1.0,11.0,3.5,1731.2
2024-04-02 15:11:39,4045.2,-0.0,-0.0,100.0,44.0,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.0,3.5,1731.2
2024-04-02 15:11:40,4045.2,-0.0,-0.0,100.0,44.0,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.0,3.5,1731.2
2024-04-02 15:11:41,4045.2,-0.0,-0.0,100.0,44.0,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.0,3.5,1731.2
2024-04-02 15:11:42,4045.2,-0.0,-0.0,100.0,43.8,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.0,3.5,1731.2
2024-04-02 15:11:43,4045.2,-0.0,-0.0,100.0,43.5,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.0,3.5,1731.2
2024-04-02 15:11:44,4045.2,-0.0,-0.0,100.0,43.3,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.2
2024-04-02 15:11:45,4045.2,-0.0,-0.0,100.0,43.0,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.2
2024-04-02 15:11:46,4045.2,-0.0,-0.0,100.0,42.8,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.2
2024-04-02 15:11:47,4045.2,-0.0,-0.0,100.0,42.6,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.2
2024-04-02 15:11:48,4045.2,-0.0,-0.0,100.0,42.1,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.2
2024-04-02 15:11:49,4045.2,-0.0,-0.0,100.0,42.1,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:50,4045.2,-0.0,-0.0,100.0,41.6,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:51,4045.2,-0.0,-0.0,100.0,41.6,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:52,4045.2,-0.0,-0.0,100.0,41.2,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:53,4045.2,-0.0,-0.0,100.0,41.2,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:54,4045.2,-0.0,-0.0,100.0,40.9,-0.0,-0.0,0.5,55.2,3428.0,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:55,4045.2,-0.0,-0.0,100.0,40.7,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:56,4045.2,-0.0,-0.0,100.0,40.2,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:57,4045.2,-0.0,-0.0,100.0,40.2,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:58,4045.2,-0.0,-0.0,100.0,39.8,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:11:59,4045.2,-0.0,-0.0,100.0,39.8,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:00,4045.2,-0.0,-0.0,100.0,39.3,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:01,4045.2,-0.0,-0.0,100.0,39.3,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:02,4045.2,-0.0,-0.0,100.0,38.6,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:03,4045.2,-0.0,-0.0,100.0,38.6,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:04,4045.2,-0.0,-0.0,100.0,38.4,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:05,4045.2,-0.0,-0.0,100.0,38.1,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:06,4045.2,-0.0,-0.0,100.0,37.9,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:07,4045.2,-0.0,-0.0,100.0,37.7,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:08,4045.2,-0.0,-0.0,100.0,38.9,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:09,4045.2,-0.0,-0.0,100.0,38.7,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:10,4045.2,-0.0,-0.0,100.0,38.5,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:11,4045.2,-0.0,-0.0,100.0,38.2,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:12,4045.2,-0.0,-0.0,100.0,38.0,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.1,3.5,1731.3
2024-04-02 15:12:13,4045.2,-0.0,-0.0,100.0,38.2,-0.0,-0.0,0.5,55.2,3428.1,2084.8,-1.0,11.2,3.5,1731.3
2024-04-02 15:12:14,4045.2,-0.0,-0.0,100.0,38.0,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:15,4045.2,-0.0,-0.0,100.0,37.8,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:16,4045.2,-0.0,-0.0,100.0,38.0,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:17,4045.2,-0.0,-0.0,100.0,38.0,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:18,4045.2,-0.0,-0.0,100.0,37.8,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:19,4045.2,-0.0,-0.0,100.0,37.5,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:20,4045.2,-0.0,-0.0,100.0,37.5,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:21,4045.2,-0.0,-0.0,100.0,37.3,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:22,4045.2,-0.0,-0.0,100.0,37.9,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:23,4045.2,-0.0,-0.0,100.0,37.8,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.4
2024-04-02 15:12:24,4045.2,-0.0,-0.0,100.0,37.8,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:25,4045.2,-0.0,-0.0,100.0,37.8,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:26,4045.2,-0.0,-0.0,100.0,37.5,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:27,4045.2,-0.0,-0.0,100.0,37.5,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:28,4045.2,-0.0,-0.0,100.0,37.3,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:29,4045.2,-0.0,-0.0,100.0,37.1,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:30,4045.2,-0.0,-0.0,100.0,37.1,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:31,4045.2,-0.0,-0.0,100.0,40.6,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:32,4045.2,-0.0,-0.0,100.0,40.3,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:33,4045.2,-0.0,-0.0,100.0,40.3,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:34,4045.2,-0.0,-0.0,100.0,40.1,-0.0,-0.0,0.5,55.2,3428.2,2084.8,-1.0,11.2,3.5,1731.6
2024-04-02 15:12:35,4045.2,-0.0,-0.0,100.0,39.9,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.7
2024-04-02 15:12:36,4045.2,-0.0,-0.0,100.0,40.3,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.7
2024-04-02 15:12:37,4045.2,-0.0,-0.0,100.0,40.1,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.7
2024-04-02 15:12:38,4045.2,-0.0,-0.0,100.0,40.1,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.7
2024-04-02 15:12:39,4045.2,-0.0,-0.0,100.0,39.9,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.7
2024-04-02 15:12:40,4045.2,-0.0,-0.0,100.0,39.9,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.7
2024-04-02 15:12:41,4045.2,-0.0,-0.0,100.0,39.6,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.7
2024-04-02 15:12:42,4045.2,-0.0,-0.0,100.0,40.3,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.7
2024-04-02 15:12:43,4045.2,-0.0,-0.0,100.0,40.0,-0.0,-0.0,0.5,55.2,3428.3,2084.8,-1.0,11.2,3.5,1731.7
