Disk Write KB/s raspberrypi,mmcblk0,mmcblk0p1,mmcblk0p2
2024-06-26 04:48:22,0.0,0.0,0.0
2024-06-26 04:48:23,0.0,0.0,0.0
2024-06-26 04:48:24,0.0,0.0,0.0
2024-06-26 04:48:25,0.0,0.0,0.0
2024-06-26 04:48:26,59.8,0.0,59.8
2024-06-26 04:48:27,111.0,0.0,111.0
2024-06-26 04:48:28,0.0,0.0,0.0
2024-06-26 04:48:29,0.0,0.0,0.0
2024-06-26 04:48:30,0.0,0.0,0.0
2024-06-26 04:48:31,87.9,0.0,87.9
2024-06-26 04:48:32,123.7,0.0,123.7
2024-06-26 04:48:33,0.0,0.0,0.0
2024-06-26 04:48:34,0.0,0.0,0.0
2024-06-26 04:48:35,0.0,0.0,0.0
2024-06-26 04:48:36,51.9,0.0,51.9
2024-06-26 04:48:37,95.7,0.0,95.7
2024-06-26 04:48:38,0.0,0.0,0.0
2024-06-26 04:48:39,0.0,0.0,0.0
2024-06-26 04:48:40,0.0,0.0,0.0
2024-06-26 04:48:41,31.9,0.0,31.9
2024-06-26 04:48:42,71.5,0.0,71.5
2024-06-26 04:48:43,0.0,0.0,0.0
2024-06-26 04:48:44,0.0,0.0,0.0
2024-06-26 04:48:45,0.0,0.0,0.0
2024-06-26 04:48:46,32.0,0.0,32.0
2024-06-26 04:48:47,75.8,0.0,75.8
2024-06-26 04:48:48,0.0,0.0,0.0
2024-06-26 04:48:49,0.0,0.0,0.0
2024-06-26 04:48:50,0.0,0.0,0.0
2024-06-26 04:48:51,40.0,0.0,40.0
2024-06-26 04:48:52,75.8,0.0,75.8
2024-06-26 04:48:53,16.0,0.0,16.0
2024-06-26 04:48:54,0.0,0.0,0.0
2024-06-26 04:48:55,0.0,0.0,0.0
2024-06-26 04:48:56,32.0,0.0,32.0
2024-06-26 04:48:57,24.0,0.0,24.0
2024-06-26 04:48:58,0.0,0.0,0.0
2024-06-26 04:48:59,0.0,0.0,0.0
2024-06-26 04:49:00,0.0,0.0,0.0
2024-06-26 04:49:01,0.0,0.0,0.0
